Unit (n),ETH Input (Cumulative),Issued Tokens,Cumulative Supply,Buy Price (ETH),Spread,Sell Price (ETH),Weight
137,13700,64064.54411711865,18583211.57884929,1.560926e-03,0.8782193958664531,1.900905e-04,5.521891046323884
138,13800,63805.60438999,18647017.18323928,1.567260e-03,0.8780604133545294,1.911111e-04,5.539453906066405
139,13900,63549.61079192415,18710566.794031207,1.573574e-03,0.8779014308426057,1.921311e-04,5.55693635089225
140,14000,63296.508831138635,18773863.302862346,1.579866e-03,0.877742448330682,1.931505e-04,5.57433931198985
141,14100,63046.24540533244,18836909.548267677,1.586137e-03,0.8775834658187583,1.941694e-04,5.591663703192121
142,14200,62798.76875667097,18899708.31702435,1.592388e-03,0.8774244833068346,1.951878e-04,5.608910421421029
143,14300,62554.02842853569,18962262.345452886,1.598618e-03,0.877265500794911,1.962056e-04,5.626080347117698
144,14400,62311.975223956964,19024574.320676845,1.604828e-03,0.8771065182829872,1.972229e-04,5.643174344658653
145,14500,62072.561165653526,19086646.881842498,1.611018e-03,0.8769475357710635,1.982397e-04,5.66019326275871
146,14600,61835.739457606076,19148482.621300105,1.617188e-03,0.8767885532591398,1.992560e-04,5.677137934861049
147,14700,61601.464448095474,19210084.0857482,1.623338e-03,0.8766295707472161,2.002719e-04,5.694009179514967
148,14800,61369.69159414084,19271453.77734234,1.629469e-03,0.8764705882352924,2.012873e-04,5.710807800741758
149,14900,61140.377427274885,19332594.154769618,1.635580e-03,0.8763116057233687,2.023023e-04,5.727534588389204
150,15000,60913.47952059799,19393507.634290215,1.641673e-03,0.876152623211445,2.033169e-04,5.7441903184750736
151,15100,60688.95645705469,19454196.59074727,1.647746e-03,0.8759936406995213,2.043310e-04,5.760775753520066
152,15200,60466.767798879824,19514663.35854615,1.653801e-03,0.8758346581875976,2.053448e-04,5.777291642870571
153,15300,60246.87405816352,19574910.232604314,1.659837e-03,0.875675675675674,2.063581e-04,5.793738723011646
154,15400,60029.23666848712,19634939.4692728,1.665855e-03,0.8755166931637502,2.073711e-04,5.810117717870543
155,15500,59813.81795758457,19694753.287230384,1.671854e-03,0.8753577106518265,2.083838e-04,5.826429339111147
156,15600,59600.58112098543,19754353.86835137,1.677836e-03,0.8751987281399028,2.093961e-04,5.842674286419654
157,15700,59389.49019659866,19813743.358547967,1.683800e-03,0.8750397456279791,2.104080e-04,5.858853247781795
158,15800,59180.51004019765,19872923.868588164,1.689745e-03,0.8748807631160554,2.114197e-04,5.874966899751914
159,15900,58973.606301768756,19931897.474889934,1.695674e-03,0.8747217806041317,2.124310e-04,5.891015907714203
160,16000,58768.74540268828,19990666.220292624,1.701585e-03,0.874562798092208,2.134420e-04,5.9070009261363365
161,16100,58565.894513693456,20049232.114806317,1.707478e-03,0.8744038155802843,2.144528e-04,5.922922598815808
162,16200,58365.021533615225,20107597.136339933,1.713355e-03,0.8742448330683606,2.154632e-04,5.938781559119201
163,16300,58166.09506884177,20165763.231408775,1.719215e-03,0.874085850556437,2.164734e-04,5.954578430214661
164,16400,57969.08441348372,20223732.31582226,1.725057e-03,0.8739268680445132,2.174834e-04,5.970313825297765
165,16500,57773.95953021259,20281506.27535247,1.730884e-03,0.8737678855325895,2.184931e-04,5.98598834781106
166,16600,57580.69103174575,20339086.966384217,1.736693e-03,0.8736089030206659,2.195026e-04,6.001602591657452
167,16700,57389.25016295255,20396476.21654717,1.742487e-03,0.8734499205087422,2.205118e-04,6.017157141407672
168,16800,57199.60878355688,20453675.825330727,1.748264e-03,0.8732909379968185,2.215209e-04,6.032652572502006
169,16900,57011.739351413125,20510687.56468214,1.754025e-03,0.8731319554848948,2.225297e-04,6.048089451446492
170,17000,56825.61490633299,20567513.179588474,1.759770e-03,0.872972972972971,2.235383e-04,6.063468336003756
171,17100,56641.20905444213,20624154.38864292,1.765499e-03,0.8728139904610474,2.245468e-04,6.078789775378683
172,17200,56458.495953046135,20680612.884595964,1.771213e-03,0.8726550079491237,2.255551e-04,6.094054310399066
